CustomerID,Country,num_transactions,Amount,Recency
12346.0,United Kingdom,2.0,0.0,325.0
12347.0,Iceland,182.0,4310.0,1.0
12348.0,Finland,31.0,1797.24,74.0
12349.0,Italy,73.0,1757.55,18.0
12350.0,Norway,17.0,334.4,309.0
12352.0,Norway,95.0,1545.41,35.0
12353.0,Bahrain,4.0,89.0,203.0
12354.0,Spain,58.0,1079.4,231.0
12355.0,Bahrain,13.0,459.4,213.0
12356.0,Portugal,59.0,2811.43,22.0
12358.0,Austria,19.0,1168.06,1.0
12360.0,Austria,129.0,2662.06,51.0
12361.0,Belgium,10.0,189.9,286.0
12363.0,Unspecified,23.0,552.0,109.0
12364.0,Belgium,85.0,1313.1,7.0
12365.0,Cyprus,23.0,320.69,290.0
12367.0,Denmark,11.0,168.9,3.0
12370.0,Cyprus,167.0,3545.69,50.0
12370.0,Austria,167.0,3545.69,50.0
12371.0,Switzerland,63.0,1887.96,44.0
12372.0,Denmark,52.0,1298.04,71.0
12373.0,Austria,14.0,364.6,310.0
12374.0,Austria,33.0,742.9300000000001,24.0
12375.0,Finland,18.0,455.42,2.0
12377.0,Switzerland,77.0,1628.12,314.0
12378.0,Switzerland,219.0,4008.62,129.0
12379.0,Belgium,41.0,850.29,81.0
12380.0,Belgium,105.0,2720.56,21.0
12381.0,Norway,91.0,1803.96,4.0
12383.0,Belgium,100.0,1839.31,184.0
12384.0,Switzerland,30.0,566.16,28.0
12386.0,Australia,10.0,401.9,337.0
12388.0,Australia,100.0,2780.66,15.0
12390.0,Belgium,32.0,549.84,79.0
12391.0,Cyprus,100.0,460.89,21.0
12393.0,Australia,64.0,1582.6000000000001,71.0
12394.0,Denmark,27.0,1272.48,63.0
12394.0,Belgium,27.0,1272.48,63.0
12395.0,Belgium,159.0,2998.28,15.0
12397.0,Belgium,126.0,2409.9,35.0
12398.0,Switzerland,85.0,1635.6599999999999,45.0
12399.0,Belgium,59.0,1108.65,118.0
12401.0,Belgium,5.0,84.3,302.0
12402.0,Belgium,11.0,225.6,322.0
12403.0,Denmark,6.0,409.7,49.0
12405.0,Finland,54.0,1710.39,148.0
12406.0,Denmark,108.0,3280.75,21.0
12407.0,Belgium,77.0,1708.1200000000001,49.0
12408.0,Belgium,113.0,2842.57,32.0
12410.0,Switzerland,28.0,681.0799999999999,300.0
12412.0,Denmark,61.0,1226.88,74.0
12413.0,France,40.0,694.15,66.0
12414.0,Austria,18.0,562.41,216.0
12417.0,Spain,198.0,3578.8,2.0
12417.0,Belgium,198.0,3578.8,2.0
12418.0,Switzerland,34.0,668.58,112.0
12420.0,Cyprus,29.0,600.39,63.0
12421.0,Spain,46.0,806.27,15.0
12422.0,Australia,39.0,803.5600000000001,95.0
12422.0,Switzerland,39.0,803.5600000000001,95.0
12423.0,Belgium,126.0,1849.11,0.0
12424.0,Australia,30.0,1760.96,162.0
12425.0,Portugal,36.0,777.2,77.0
12426.0,Germany,30.0,582.73,194.0
12427.0,Germany,35.0,708.37,11.0
12429.0,Denmark,97.0,3750.4,8.0
12429.0,Austria,97.0,3750.4,8.0
12430.0,Norway,11.0,256.4,42.0
12434.0,Australia,54.0,765.19,84.0
12436.0,Norway,16.0,509.01,99.0
12438.0,Norway,98.0,2906.85,13.0
12441.0,France,11.0,173.55,366.0
12442.0,Spain,12.0,172.06,2.0
12445.0,Spain,4.0,133.4,21.0
12446.0,RSA,58.0,1002.3100000000001,57.0
12447.0,Belgium,26.0,476.49,242.0
12448.0,Spain,22.0,449.45,43.0
12449.0,Belgium,191.0,4067.29,21.0
12450.0,Spain,8.0,197.88,155.0
12452.0,Switzerland,23.0,428.57,16.0
12453.0,Austria,43.0,707.09,133.0
12454.0,Spain,30.0,5.684341886080802e-14,52.0
12455.0,Spain,90.0,2466.86,72.0
12455.0,Cyprus,90.0,2466.86,72.0
12456.0,Switzerland,129.0,3153.89,43.0
12457.0,Switzerland,68.0,1917.78,57.0
12457.0,Cyprus,68.0,1917.78,57.0
12458.0,Switzerland,38.0,947.4,70.0
12461.0,Switzerland,35.0,826.88,93.0
12462.0,Spain,72.0,1124.01,1.0
12463.0,Belgium,88.0,1303.63,45.0
12464.0,Belgium,29.0,1212.05,9.0
12465.0,Belgium,51.0,733.89,7.0
12468.0,Germany,40.0,724.0400000000001,142.0
12473.0,Germany,179.0,2848.23,28.0
12475.0,Germany,36.0,723.38,53.0
12478.0,Greece,36.0,680.99,3.0
12479.0,Germany,35.0,477.3,3.0
12480.0,Germany,154.0,3281.63,27.0
12483.0,Sweden,81.0,2327.13,16.0
12484.0,Spain,350.0,4495.27,32.0
12488.0,France,55.0,1298.66,9.0
